City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,evensk,61.95,159.2333,34.9,81,87,2.89,RU,1684218072
232,te anau,-45.4167,167.7167,48.88,90,46,6.69,NZ,1684218073
233,zhangjiakou,40.81,114.8794,90.12,16,95,17.25,CN,1684218073
234,tuktoyaktuk,69.4541,-133.0374,33.08,99,96,7.47,CA,1684218073
235,murray bridge,-35.1167,139.2667,57.13,63,77,12.64,AU,1684218073
236,dakar,14.6937,-17.4441,72.48,86,52,15.19,SN,1684217900
237,bridgeton,39.4273,-75.2341,61.02,89,0,5.75,US,1684218073
238,coolum beach,-26.5333,153.1,66.11,80,97,8.19,AU,1684218073
239,mont-dore,-22.2833,166.5833,76.98,70,76,10.2,NC,1684218073
240,fairbanks,64.8378,-147.7164,55.4,43,40,10.36,US,1684218073
241,tattayyangarpettai,11.1333,78.45,96.15,42,90,9.62,IN,1684218073
242,ambunti,-4.2365,142.8448,92.39,52,58,1.95,PG,1684218073
243,half moon bay,37.4636,-122.4286,60.58,90,100,14.97,US,1684218073
244,waingapu,-9.6567,120.2641,81.5,59,64,7.23,ID,1684218073
245,labuhan,-6.8844,112.2051,84.96,63,47,3.78,ID,1684218074
246,chernyshevskiy,63.0128,112.4714,41.94,60,87,5.5,RU,1684218074
247,champerico,14.3,-91.9167,84.49,72,43,5.77,GT,1684218074
248,riyadh,24.6877,46.7219,89.74,15,64,12.57,SA,1684217541
249,westport,41.1415,-73.3579,64.74,51,0,5.75,US,1684218074
250,gushi,34.6425,109.5843,91.92,24,100,0.63,CN,1684218074
251,kavarna,43.4333,28.3333,63.43,72,99,10.29,BG,1684218074
252,alexandria,31.2156,29.9553,73.18,64,75,12.01,EG,1684218045
253,bahia blanca,-38.7196,-62.2724,71.82,53,24,10.0,AR,1684218074
254,rock sound,24.9,-76.2,76.87,82,8,7.18,BS,1684218074
255,provideniya,64.3833,-173.3,20.35,80,30,10.13,RU,1684218074
256,hermosillo,29.0667,-110.9667,81.84,31,0,2.3,MX,1684218075
257,bonthe,7.5264,-12.505,78.35,85,100,3.0,SL,1684218075
258,hambantota,6.1241,81.1185,88.11,70,99,11.14,LK,1684218075
259,castro,-24.7911,-50.0119,48.18,79,1,2.35,BR,1684218075
260,ossora,59.2353,163.0719,37.0,79,28,6.93,RU,1684218075
261,lago da pedra,-4.3333,-45.1667,73.17,99,97,2.17,BR,1684218075
262,iranduba,-3.2847,-60.1861,79.12,98,99,2.1,BR,1684218075
263,sisimiut,66.9395,-53.6735,31.21,64,100,9.48,GL,1684218075
264,xuanhua,40.6103,115.0447,93.78,15,94,7.56,CN,1684218075
265,algiers,36.7525,3.042,57.02,82,40,3.44,DZ,1684217809
266,urusha,54.05,122.9,44.01,57,100,9.75,RU,1684218076
267,pasighat,28.0667,95.3333,70.36,94,100,2.19,IN,1684218076
268,kavieng,-2.5744,150.7967,83.39,78,67,4.79,PG,1684218076
269,tadine,-21.55,167.8833,73.42,70,100,12.97,NC,1684218076
270,batagay-alyta,67.8006,130.4114,35.01,88,100,2.68,RU,1684217921
271,lisov,49.016,14.6084,53.73,90,98,5.01,CZ,1684218076
272,bartica,6.4,-58.6167,75.52,99,100,1.16,GY,1684218076
273,san cristobal,7.7669,-72.225,68.72,82,100,2.57,VE,1684218076
274,whitehorse,60.7161,-135.0538,54.37,28,20,9.22,CA,1684217855
275,port-gentil,-0.7193,8.7815,78.76,100,20,0.0,GA,1684218076
276,la ronge,55.1001,-105.2842,53.85,50,100,5.75,CA,1684218076
277,bertoua,4.5833,13.6833,70.47,98,79,1.79,CM,1684218077
278,cap malheureux,-19.9842,57.6142,82.47,67,8,7.0,MU,1684218077
279,zhezkazgan,47.8043,67.7144,60.78,33,40,24.61,KZ,1684218077
280,touros,-5.1989,-35.4608,77.02,88,13,9.37,BR,1684218077
281,houma,29.5958,-90.7195,72.0,94,100,0.0,US,1684218077
282,bay roberts,47.5999,-53.2648,45.34,85,79,5.01,CA,1684218077
283,biak,-0.9131,122.8766,81.34,80,87,3.83,ID,1684218077
284,hof,50.3167,11.9167,51.75,87,40,6.91,DE,1684218076
285,bowen,-20.0167,148.2333,77.83,71,54,7.34,AU,1684218077
286,butembo,0.15,29.2833,70.79,59,17,2.73,CD,1684218077
287,port moresby,-9.4431,147.1797,87.22,66,40,11.5,PG,1684218077
288,comodoro rivadavia,-45.8667,-67.5,62.46,51,0,18.41,AR,1684217805
289,maragogi,-9.0122,-35.2225,76.08,86,47,0.63,BR,1684218077
290,tsiroanomandidy,-18.7667,46.0333,68.47,77,53,1.01,MG,1684218078
291,lososina,48.9975,140.3106,54.3,69,81,14.74,RU,1684218078
292,chapais,49.7834,-74.8492,35.38,65,95,7.14,CA,1684218078
293,dzilam gonzalez,21.2833,-88.9333,72.16,92,64,3.74,MX,1684218078
294,kaitangata,-46.2817,169.8464,49.64,79,15,4.52,NZ,1684218078
295,fortuna,40.5982,-124.1573,56.93,94,100,0.0,US,1684218078
296,cerrito,6.8432,-72.694,54.45,87,100,4.47,CO,1684218078
297,villazon,-22.0866,-65.5942,45.01,69,15,3.85,BO,1684218078
298,sibu,2.3,111.8167,89.91,74,40,0.0,MY,1684218078
299,belle glade,26.6845,-80.6676,74.05,85,2,4.94,US,1684218079
300,tsirguliina,57.864,26.1947,54.25,87,100,12.77,EE,1684218079
301,arlit,18.7369,7.3853,89.56,12,98,8.14,NE,1684218079
302,lavrentiya,65.5833,-171.0,19.15,84,48,12.64,RU,1684218079
303,sheridan,44.8333,-106.9173,55.45,86,0,5.75,US,1684217800
304,simbahan,6.3032,120.5836,83.53,74,81,9.89,PH,1684218079
305,tourlaville,49.6383,-1.5664,51.22,87,0,5.75,FR,1684218079
306,saldanha,-33.0117,17.9442,50.05,81,8,7.81,ZA,1684218079
307,buala,-8.145,159.5921,84.06,77,99,2.86,SB,1684218079
308,tezu,27.9167,96.1667,73.83,85,99,0.69,IN,1684218079
309,cuamba,-14.8031,36.5372,71.19,66,6,2.3,MZ,1684218079
310,lagos,6.5833,3.75,79.12,93,96,2.8,NG,1684217956
311,antofagasta,-23.65,-70.4,60.08,77,31,2.8,CL,1684218080
312,port hedland,-20.3167,118.5667,87.85,18,7,11.5,AU,1684218080
313,atlantic city,39.3643,-74.4229,61.02,81,0,6.91,US,1684218080
314,thinadhoo,0.5333,72.9333,82.87,82,67,17.63,MV,1684218080
315,meadow lake,34.8014,-106.5436,65.46,57,30,5.99,US,1684218080
316,shache,38.4167,77.2406,88.25,10,0,3.91,CN,1684218080
317,pandan,14.0453,124.1694,84.7,79,92,4.63,PH,1684218080
318,porto novo,6.4965,2.6036,76.82,84,100,3.0,BJ,1684218080
319,high level,58.5169,-117.136,53.71,66,0,4.61,CA,1684218080
320,mackay,-21.15,149.2,85.68,67,34,6.98,AU,1684218080
321,rorvik,64.8621,11.2373,46.51,81,75,6.91,NO,1684218081
322,hanyang,32.1371,105.5126,81.82,37,4,6.76,CN,1684218081
323,miramar,25.9873,-80.2323,77.02,81,0,0.0,US,1684218081
324,sao filipe,14.8961,-24.4956,72.5,78,8,14.85,CV,1684218081
325,porbandar,21.6422,69.6093,91.38,66,40,13.8,IN,1684217896
326,adrar,20.5022,-10.0711,80.42,19,15,10.02,MR,1684218081
327,cabiraoan,18.3238,122.086,87.3,72,94,5.21,PH,1684218081
328,cherskiy,68.75,161.3,38.88,77,33,15.52,RU,1684218081
329,mogadishu,2.0371,45.3438,83.3,77,41,15.32,SO,1684218081
330,padang,-0.9492,100.3543,89.65,67,48,5.95,ID,1684218081
331,mendota,36.7536,-120.3816,71.33,49,73,11.59,US,1684218081
332,grand gaube,-20.0064,57.6608,82.8,67,9,7.0,MU,1684218081
333,asau,46.4333,26.4,56.32,66,100,4.14,RO,1684218082
334,beloha,-25.1667,45.05,73.98,70,1,11.61,MG,1684218082
335,beyla,8.6833,-8.6333,68.29,99,99,2.44,GN,1684218082
336,harper,4.375,-7.7169,76.32,94,100,12.39,LR,1684218082
337,tvedestrand,58.622,8.9315,53.35,79,100,2.64,NO,1684218082
338,vila franca do campo,37.7167,-25.4333,63.01,89,39,4.18,PT,1684218082
339,dromolaxia,34.8761,33.586,85.66,36,0,10.36,CY,1684218082
340,aktau,43.65,51.2,64.98,72,83,17.22,KZ,1684218082
341,tasiilaq,65.6145,-37.6368,28.56,78,100,5.59,GL,1684218003
342,pascagoula,30.3658,-88.5561,75.92,96,75,0.0,US,1684218082
343,ayr,55.4627,-4.6339,51.51,81,75,12.66,GB,1684218082
344,mehamn,71.0357,27.8492,44.55,93,40,0.0,NO,1684218083
345,mecca,21.4267,39.8261,91.15,31,10,0.65,SA,1684218074
346,east london,-33.0153,27.9116,56.34,82,0,9.22,ZA,1684218083
347,maniitsoq,65.4167,-52.9,36.25,79,99,9.22,GL,1684218083
348,massakory,12.996,15.7293,92.97,28,100,10.54,TD,1684218083
349,punta cardon,11.6581,-70.215,78.98,86,100,20.22,VE,1684218083
350,phan thiet,10.9333,108.1,91.2,59,43,14.94,VN,1684218083
351,meulaboh,4.1363,96.1285,86.47,65,65,5.64,ID,1684218083
352,fort wellington,6.4,-57.6,77.7,89,100,7.58,GY,1684218083
353,yeniseysk,58.4497,92.1703,45.34,48,100,7.85,RU,1684218083
354,severo-yeniseyskiy,60.3725,93.0408,34.88,70,99,8.57,RU,1684218083
355,krasnoarmeysk,51.0239,45.6969,53.37,83,100,17.27,RU,1684218083
356,ust-kuyga,70.0167,135.6,37.42,91,100,3.49,RU,1684218084
357,selfoss,63.9331,-20.9971,31.05,62,53,4.52,IS,1684218084
358,ribeira brava,32.65,-17.0667,68.0,76,60,3.89,PT,1684217883
359,taoudenni,22.6783,-3.9836,79.72,11,22,9.48,ML,1684218084
360,liepaja,56.5419,21.0367,55.38,94,100,8.05,LV,1684218084
361,leiyang,26.4024,112.8591,87.67,58,86,11.54,CN,1684218084
362,pangnirtung,66.1451,-65.7125,11.86,75,17,10.98,CA,1684218084
363,barcelos,41.5388,-8.6151,62.85,65,100,5.01,PT,1684218084
364,vestmannaeyjar,63.4427,-20.2734,38.07,62,56,4.65,IS,1684218084
365,ngunguru,-35.6167,174.5,56.64,73,11,8.46,NZ,1684218084
366,benghazi,32.1167,20.0667,65.57,71,23,14.63,LY,1684218084
367,lamar,33.6668,-95.5836,69.89,95,0,10.36,US,1684218084
